folioviv,ubica_geo,clase_hog,tam_loc,est_socio,educa_jefe,sexo_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,ing_cor,ingtrab,gasto_mon,alimentos,educa_espa,salud,transporte
0762596607,7046,2,4,1,10,1,51,2,1,1,2,0,61729.16,58549.16,41645.47,11918.42,0.0,0.0,22853.36
0762596608,7046,2,4,1,5,1,50,2,1,1,2,0,26606.55,23606.55,23002.87,10857.75,0.0,1643.46,6385.66
0762596609,7046,2,4,1,6,1,27,4,2,2,2,2,93983.6,90383.6,18235.09,12265.57,1105.43,860.86,1780.32
0762596609,7046,2,4,1,4,1,53,2,1,1,2,0,16213.31,13770.48,8796.89,4988.48,0.0,909.76,870.0
0762596610,7046,2,4,1,1,1,51,3,2,1,3,0,24172.11,22672.11,13246.33,4949.92,0.0,582.04,3641.09
0762596611,7046,2,4,1,3,1,44,4,3,1,2,2,19278.68,17778.68,12687.12,7585.6,0.0,410.86,385.68
0762596813,7046,3,4,1,3,1,55,4,1,3,4,0,40605.22,15934.42,21233.35,14219.81,2595.65,0.0,150.0
0762596814,7046,3,4,1,3,1,62,3,2,1,3,0,21420.09,13534.4,22810.58,9398.44,978.26,0.0,4037.21
0762596816,7046,2,4,1,3,1,64,4,3,1,4,0,57434.57,52934.57,47399.85,17633.37,0.0,3961.93,15046.7
0762596817,7046,3,4,1,6,1,57,3,1,2,3,0,19864.21,7583.6,9386.37,5046.32,185.86,146.73,1440.0
0762596818,7046,2,4,1,6,1,37,5,4,1,3,2,27207.64,13021.95,10225.08,7611.31,592.04,146.73,900.0
0762597301,7051,2,4,1,4,1,37,4,2,2,2,2,23782.77,17608.69,17619.21,8369.92,2185.54,0.0,1509.66
0762597302,7051,2,4,1,8,1,49,4,2,2,4,0,58481.04,56739.11,45290.81,15929.83,15318.9,1467.39,4884.8
0762597303,7051,2,4,1,3,1,49,4,1,3,4,0,36353.22,25541.88,42705.14,28144.03,1862.12,156.52,7722.72
0762597304,7051,1,4,1,6,2,67,1,0,1,1,0,18787.76,2103.26,16937.13,9789.32,0.0,293.47,3868.87
0762597305,7051,1,4,1,3,1,70,1,1,0,1,0,35512.71,24211.95,6599.01,2854.24,0.0,489.12,0.0
0762597305,7051,3,4,1,3,1,26,7,5,2,4,3,28467.36,17021.73,43196.44,14991.3,3340.26,459.77,3085.7
0762597306,7051,2,4,1,3,1,48,4,3,1,4,0,66378.14,0.0,24182.93,6132.77,1887.09,2934.78,3953.22
0762597507,7051,1,4,1,3,1,66,1,1,0,1,0,30084.57,18542.92,9166.59,7032.75,0.0,288.57,290.32
0762597508,7051,1,4,1,8,2,34,1,0,1,1,0,15393.14,1750.1,8468.97,2429.96,0.0,37.17,1040.32
0762597509,7051,2,4,1,3,1,65,3,2,1,3,0,55357.52,37780.4,25302.03,9128.49,780.0,0.0,11388.9
0762597510,7051,2,4,1,4,1,53,2,1,1,2,0,14023.84,8217.39,12013.42,10054.14,0.0,14.67,580.64
0762597511,7051,3,4,1,3,2,70,2,0,2,1,1,20544.7,0.0,21114.59,15942.69,0.0,0.0,2894.9
0762597512,7051,2,4,1,6,1,37,3,2,1,3,0,28789.1,27337.49,14614.88,5657.11,1585.95,0.0,3193.54
0762597713,7051,2,4,1,10,1,46,4,1,3,3,1,14158.99,7642.6,23220.73,7418.46,489.93,601.62,7471.95
